model_id,val_accuracy,test_accuracy,val_f1,test_f1,val_precision,test_precision,val_recall,test_recall,val_equalized_odds,test_equalized_odds,val_cuae,test_cuae,val_dem_parity,test_dem_parity,val_equal_opportunity,test_equal_opportunity,val_predictive_equality,test_predictive_equality,val_predictive_parity,test_predictive_parity,val_neg_predictive_parity,test_neg_predictive_parity,val_acc_robustness,test_acc_robustness
rtc_627,0.7014285714285714,0.7093333333333334,0.45715539462907884,0.45824570083216704,0.5020528171743005,0.5203850714749837,0.42380952380952375,0.4177777777777778,0.48428571428571426,0.3258677348763028,0.5913738368910784,0.3477861319966583,0.26197046670730884,0.24766727783889503,0.48428571428571426,0.27736434108527125,0.2265810276679842,0.20461581761891362,0.5911111111111111,0.3022751322751323,0.25646437359451824,0.21858244095086202,0.036283106090707354,0.019378085666072208
rtc_628,0.7128571428571429,0.7066666666666667,0.48770329857017164,0.4756749659341965,0.5243204663058348,0.5140516697645082,0.4619047619047619,0.45111111111111113,0.5285714285714286,0.3556130283425265,0.6034069677672994,0.37159565580618215,0.2966643442583292,0.2638450067228945,0.5285714285714286,0.307109634551495,0.24563492063492065,0.18920697465589106,0.6018094255245958,0.32376177571299525,0.23777358841874974,0.20939722494642404,0.040318621460294864,0.01590789817951437
rtc_629,0.71,0.7053333333333334,0.4725581966471493,0.4455619309345934,0.5185755813953488,0.5138570970576175,0.43809523809523804,0.4,0.5042857142857142,0.24617781239568265,0.6057245263696877,0.3084294068504595,0.29108611296581216,0.1792345679012346,0.5042857142857142,0.2310077519379845,0.25576479076479075,0.12648734134802245,0.6041269841269841,0.2813210119678836,0.24504036294465203,0.22752269090806107,0.030614425839210646,0.01069044967649698
rtc_630,0.7200000000000001,0.6953333333333334,0.47170751014733103,0.4481040792158601,0.5386898622760692,0.49339674605601863,0.4238095238095238,0.4133333333333333,0.509047619047619,0.4541795665634675,0.7460248447204969,0.3659841047218326,0.2607685682873653,0.34116416086053053,0.509047619047619,0.34031007751937986,0.2523160173160173,0.3892672858617131,0.7460248447204969,0.30104454685099846,0.24206085460665977,0.3065757317419722,0.04002226597521502,0.01937808566607219
rtc_631,0.6971428571428572,0.708,0.450584539839046,0.4603137521548362,0.4948824104421828,0.5169999410655352,0.419047619047619,0.4222222222222222,0.48428571428571426,0.3212165720856051,0.5792986734923855,0.346031746031746,0.26197046670730884,0.25366727783889503,0.48428571428571426,0.2727131782945736,0.2265810276679842,0.21506841971238258,0.5790359477124183,0.31507198228128463,0.25646437359451824,0.2173918322939131,0.03573754398184585,0.016035674514745475
rtc_632,0.7,0.7093333333333334,0.45300878226328845,0.4583270837883841,0.4992302365291392,0.5199899425287355,0.419047619047619,0.4177777777777778,0.48428571428571426,0.3258677348763028,0.5867986734923856,0.3477861319966583,0.26197046670730884,0.2489018457401296,0.48428571428571426,0.27736434108527125,0.2265810276679842,0.20629648988782118,0.5865359477124183,0.3022751322751323,0.25646437359451824,0.21825859177205098,0.03555382376373515,0.01749635530559415
rtc_633,0.7157142857142856,0.7060000000000001,0.49653343736726346,0.47632571183633904,0.5283778636338903,0.5131479081621634,0.4761904761904761,0.4533333333333333,0.5385714285714285,0.3556130283425265,0.6065648625041414,0.37159565580618215,0.30074597691139043,0.2638450067228945,0.5385714285714285,0.307109634551495,0.24654401154401154,0.18920697465589106,0.604967320261438,0.32376177571299525,0.24148416355789631,0.2101580945116414,0.034979148214681434,0.015907898179514372
rtc_634,0.7114285714285714,0.706,0.4801836522120498,0.453832805359314,0.5196866925064599,0.5163606132320198,0.4523809523809524,0.4133333333333333,0.5242857142857142,0.279511145729016,0.6030929474223192,0.29176274018379283,0.30333101092499587,0.2125679012345679,0.5242857142857142,0.2643410852713178,0.2594011544011544,0.14945652902309248,0.6014954051796157,0.26465434530121695,0.2391965708823726,0.22406223893065996,0.03426911192341902,0.013248026422136749
rtc_635,0.7242857142857144,0.6940000000000001,0.49207805938060895,0.4548343300970544,0.5491295174484829,0.48858597530503045,0.44761904761904764,0.42666666666666664,0.52995670995671,0.44365325077399387,0.706024844720497,0.3740511101801425,0.2652589463303749,0.3620493827160494,0.509047619047619,0.2751937984496124,0.28322510822510827,0.42260061919504643,0.655115753811406,0.32386712749615976,0.2681048106506158,0.31686495942250426,0.042663224625885114,0.021476137683389872
rtc_636,0.6985714285714286,0.714,0.4505058005058006,0.46995785176776456,0.4973015873015873,0.526771140648731,0.4142857142857143,0.4311111111111111,0.47000000000000003,0.2533876975737441,0.5647721454173067,0.2488972431077694,0.2779568612651319,0.24867448967118938,0.47000000000000003,0.24573643410852714,0.24706349206349207,0.20403951054105854,0.5631746031746031,0.22291005291005295,0.2515018797352764,0.22343928928011084,0.032738752829065146,0.006998542122237654
